,F1,F2,F3,F4,F5,F6,F7,F8,Class
0,0.16696,0.57025,0.59701,0.78662,0.70328,0.75069,0.50256,0.72300,Yes
1,0.12046,0.17261,0.23112,0.48582,0.31992,0.41143,0.50449,0.36652,Yes
2,0.15317,0.22508,0.45034,0.506856929133858,0.41860,0.43565,0.50064,0.51709,Yes
3,0.2774844730941708,0.23807,0.22792,0.36509,0.31545,0.34341,0.45385,0.28373,Yes
4,0.09775,0.26784,0.25662,0.46689,0.35326,0.41629,0.33654,0.44718,Yes
5,0.27291,0.39732,0.49200,0.65373,0.54958,0.60795,0.44482219318181737,0.5285059502262444,Yes
6,0.16770,0.23896,0.33052,0.47661,0.44165719278466725,0.42663,0.44482219318181737,0.44978,Yes
7,0.2774844730941708,0.26738,0.36075,0.52305,0.44165719278466725,0.45734,0.58462,0.52894,Yes
8,0.24656,0.29614,0.34528,0.33944,0.27074,0.30900,0.39487,0.38815,Yes
9,0.42241,0.17424,0.45422,0.44032,0.34039,0.39590,0.26154,0.58286,Yes
10,0.20513,0.23381,0.36774,0.48509,0.38710,0.44167,0.52372,0.45778,Yes
11,0.2774844730941708,0.31071,0.31554,0.49542,0.36964,0.43935,0.59679,0.43673,Yes
12,0.15164,0.29188037946428597,0.44612,0.55228,0.49263,0.52653,0.43654,0.57538,Yes
13,0.22901,0.42855,0.41226,0.51487,0.46388,0.49298,0.65000,0.47319,Yes
14,1.00000,0.14935,0.81749,0.57585,0.53388,0.55823,0.33782,0.77120,Yes
15,0.41991,0.13609,0.43365,0.46542,0.37588,0.42580,0.43141,0.54205,Yes
16,0.25747,0.27879,0.43315,0.45800,0.35932,0.47964188275084574,0.37756,0.52457,Yes
17,0.22403,0.21475,0.32647,0.47170,0.37885,0.43059,0.49231,0.47537,Yes
18,0.12288,0.35482,0.42874215246636765,0.46639,0.37756,0.42710,0.42692,0.38327,Yes
19,0.36961,0.29403,0.52005,0.49718,0.48654,0.49365,0.52500,0.5285059502262444,Yes
20,0.36961,0.29403,0.52005,0.50616,0.49248,0.50127,0.52244,0.50393,Yes
21,0.17241,0.44805,0.42874215246636765,0.52192,0.46328,0.49655,0.39487,0.54519,Yes
22,0.13109,0.17424,0.22904,0.41607,0.31379,0.37051,0.36667,0.33163,Yes
23,0.32886,0.19646,0.44503,0.53261,0.44540,0.49424,0.39103,0.62263,Yes
24,0.28436,0.22096,0.41732,0.50265,0.37197,0.44436,0.46731,0.53248,Yes
25,0.29270,0.23049,0.42519,0.46117,0.36571,0.41885,0.29103,0.52702,Yes
26,0.18391,0.22758,0.32310,0.51948,0.40506,0.46866,0.44482219318181737,0.50554,Yes
27,0.25266,0.42991,0.49458,0.46955,0.45588,0.46456,0.40000,0.44758,Yes
28,0.22343,0.20736,0.32034,0.48565,0.36326,0.43110,0.48974,0.49631,Yes
29,0.45892,0.18070,0.45812,0.506856929133858,0.35635,0.40379,0.39487,0.50730,Yes
30,0.16114,0.18231,0.27198,0.50862,0.36790,0.44577,0.43718,0.45872,Yes
31,0.17199,0.18407,0.26834,0.50268,0.37602,0.44623,0.37756,0.46407,Yes
